 IDnum	Economical_State	Export_Decision	Profit
1	Severely_bad	After_6_mos	9.005e5
2	Severely_bad	Now	-7.11e5
3	Severely_bad	After_12_mos	7.66e5
4	Same	Now	2.726e6
5	Same	Now	2.726e6
6	Severely_bad	After_12_mos	7.66e5
7	Slightly_worse	After_6_mos	1.6945e6
8	Slightly_worse	After_6_mos	1.6945e6
9	Severely_bad	After_12_mos	7.66e5
10	Slightly_worse	Now	1.87e6
11	Severely_bad	After_6_mos	9.005e5
12	Slightly_worse	After_12_mos	1.425e6
13	Severely_bad	After_12_mos	7.66e5
14	Slightly_worse	Now	1.87e6
15	Severely_bad	After_6_mos	9.005e5
16	Same	Now	2.726e6
17	Same	After_12_mos	2.1e5
18	Severely_bad	Now	-7.11e5
19	Same	After_6_mos	2.357e6
20	Severely_bad	After_6_mos	9.005e5
21	Slightly_worse	After_6_mos	1.6945e6
22	Same	After_12_mos	2.1e5
23	Severely_bad	Now	-7.11e5
24	Same	After_12_mos	2.1e5
25	Severely_bad	After_12_mos	7.66e5
26	Same	After_6_mos	2.357e6
27	Same	After_6_mos	2.357e6
28	Same	After_12_mos	2.1e5
29	Severely_bad	After_12_mos	7.66e5
30	Same	After_12_mos	2.1e5
31	Same	Now	2.726e6
32	Same	Now	2.726e6
33	Slightly_worse	After_12_mos	1.425e6
34	Severely_bad	After_12_mos	7.66e5
35	Slightly_worse	After_12_mos	1.425e6
36	Same	After_6_mos	2.357e6
37	Same	Now	2.726e6
38	Severely_bad	After_6_mos	9.005e5
39	Same	After_12_mos	2.1e5
40	Severely_bad	After_12_mos	7.66e5
41	Slightly_worse	After_6_mos	1.6945e6
42	Severely_bad	After_12_mos	7.66e5
43	Same	After_12_mos	2.1e5
44	Same	After_6_mos	2.357e6
45	Severely_bad	Now	-7.11e5
46	Slightly_worse	After_12_mos	1.425e6
47	Same	After_12_mos	2.1e5
48	Slightly_worse	Now	1.87e6
49	Severely_bad	After_6_mos	9.005e5
50	Slightly_worse	After_6_mos	1.6945e6
51	Severely_bad	After_6_mos	9.005e5
52	Same	Now	2.726e6
53	Slightly_worse	Now	1.87e6
54	Slightly_worse	After_6_mos	1.6945e6
55	Slightly_worse	After_12_mos	1.425e6
56	Severely_bad	After_12_mos	7.66e5
57	Same	After_12_mos	2.1e5
58	Slightly_worse	Now	1.87e6
59	Same	Now	2.726e6
