ids	IO_board_fail	Logic_board_fail	System_State	Rework_Decision	Rework_Outcome	Rework_Cost
1	0	1	0	0	1	-175
2	0	1	0	1	1	-225
3	0	1	0	0	1	-175
4	1	1	0	1	0	-300
5	0	0	1	0	0	-300
6	0	1	0	1	1	-225
7	0	1	0	1	1	-225
8	1	1	0	0	0	-300
9	1	1	0	1	0	-300
10	0	0	1	1	0	-300
11	0	1	0	0	1	-175
12	0	1	0	0	1	-175
13	0	1	0	1	1	-225
14	0	1	0	0	1	-175
15	1	1	0	0	0	-300
16	0	1	0	0	1	-175
17	1	0	0	1	2	-125
18	0	1	0	0	1	-175
19	0	0	1	0	0	-300
20	0	1	0	0	1	-175
21	0	1	0	1	1	-225
22	0	1	0	0	1	-175
23	0	1	0	1	1	-225
24	1	1	0	0	0	-300
25	0	0	1	1	0	-300
26	0	1	0	1	1	-225
27	0	1	0	0	1	-175
28	0	0	1	0	0	-300
29	0	1	0	0	1	-175
30	0	1	0	0	1	-175
31	0	0	1	0	0	-300
32	1	0	0	0	2	-200
33	0	0	1	1	0	-300
34	0	1	0	0	1	-175
35	0	0	1	0	0	-300
36	0	1	0	0	1	-175
37	0	0	1	0	0	-300
38	1	0	0	0	2	-200
39	0	0	1	0	0	-300
40	0	1	0	0	1	-175
41	0	1	0	1	1	-225
42	0	1	0	1	1	-225
43	0	1	0	1	1	-225
44	0	1	0	0	1	-175
45	1	0	0	0	2	-200
46	0	1	0	1	1	-225
47	0	1	0	1	1	-225
48	0	1	0	1	1	-225
49	1	1	0	1	0	-300
50	1	1	0	0	0	-300
51	0	1	0	0	1	-175
52	0	1	0	0	1	-175
53	0	1	0	1	1	-225
54	0	1	0	1	1	-225
55	0	1	0	0	1	-175
56	0	1	0	0	1	-175
57	0	1	0	1	1	-225
58	1	1	0	1	0	-300
59	0	1	0	1	1	-225
60	1	1	0	1	0	-300
61	1	1	0	0	0	-300
62	0	1	0	1	1	-225
63	0	1	0	0	1	-175
64	0	1	0	1	1	-225
65	1	1	0	0	0	-300
66	0	0	1	0	0	-300
67	1	1	0	0	0	-300
68	0	1	0	0	1	-175
69	0	1	0	0	1	-175
70	0	1	0	0	1	-175
71	1	1	0	1	0	-300
72	0	1	0	0	1	-175
73	1	1	0	1	0	-300
74	1	1	0	1	0	-300
75	0	1	0	1	1	-225
76	0	1	0	0	1	-175
77	0	1	0	1	1	-225
78	0	1	0	0	1	-175
79	1	1	0	1	0	-300
80	1	0	0	0	2	-200
81	0	1	0	1	1	-225
82	0	0	1	0	0	-300
83	0	1	0	0	1	-175
84	0	1	0	1	1	-225
85	0	1	0	0	1	-175
86	0	1	0	1	1	-225
87	0	1	0	0	1	-175
88	0	1	0	0	1	-175
89	0	1	0	0	1	-175
90	0	0	1	0	0	-300
91	0	1	0	0	1	-175
92	0	1	0	0	1	-175
93	0	1	0	1	1	-225
94	0	1	0	1	1	-225
95	0	1	0	1	1	-225
96	0	1	0	1	1	-225
97	1	0	0	0	2	-200
98	0	1	0	0	1	-175
99	0	1	0	0	1	-175
100	0	1	0	0	1	-175
101	0	1	0	1	1	-225
102	0	1	0	0	1	-175
103	0	1	0	1	1	-225
104	0	1	0	0	1	-175
105	0	1	0	1	1	-225
106	0	1	0	0	1	-175
107	1	1	0	0	0	-300
108	0	1	0	0	1	-175
109	0	1	0	0	1	-175
110	0	0	1	1	0	-300
111	0	1	0	1	1	-225
112	0	1	0	0	1	-175
113	0	0	1	0	0	-300
114	0	1	0	1	1	-225
115	0	0	1	1	0	-300
116	0	0	1	1	0	-300
117	0	1	0	1	1	-225
118	1	1	0	1	0	-300
119	0	1	0	0	1	-175
120	1	1	0	1	0	-300
121	0	1	0	1	1	-225
122	0	1	0	0	1	-175
123	1	0	0	1	2	-125
124	0	1	0	1	1	-225
125	0	0	1	1	0	-300
126	0	1	0	1	1	-225
127	0	1	0	0	1	-175
128	0	1	0	0	1	-175
129	0	0	1	0	0	-300
130	0	1	0	1	1	-225
131	0	0	1	1	0	-300
132	0	0	1	1	0	-300
133	0	1	0	1	1	-225
134	1	1	0	1	0	-300
135	0	1	0	0	1	-175
136	0	1	0	1	1	-225
137	0	1	0	1	1	-225
138	1	1	0	1	0	-300
139	0	1	0	0	1	-175
140	0	0	1	0	0	-300
141	0	1	0	1	1	-225
142	0	1	0	0	1	-175
143	0	1	0	1	1	-225
144	0	1	0	1	1	-225
