ids	IO_board_fail	Logic_board_fail	System_State	Rework_Decision	Rework_Outcome	Rework_Cost
1	0	1	0	0	1	-175
2	0	1	0	0	1	-175
3	1	0	0	0	2	-200
4	0	1	0	0	1	-175
5	0	1	0	0	1	-175
6	0	1	0	1	1	-225
7	0	0	1	0	0	-300
8	0	1	0	1	1	-225
9	0	1	0	1	1	-225
10	0	1	0	1	1	-225
11	0	0	1	0	0	-300
12	1	1	0	0	0	-300
13	0	1	0	0	1	-175
14	0	1	0	1	1	-225
15	0	1	0	1	1	-225
16	0	0	1	0	0	-300
17	1	1	0	0	0	-300
18	0	1	0	0	1	-175
19	0	1	0	0	1	-175
20	0	0	1	1	0	-300
21	0	1	0	0	1	-175
22	0	0	1	1	0	-300
23	0	1	0	1	1	-225
24	0	1	0	1	1	-225
25	0	1	0	0	1	-175
26	0	0	1	0	0	-300
27	0	1	0	1	1	-225
28	0	0	1	0	0	-300
29	0	0	1	0	0	-300
30	0	0	1	1	0	-300
31	0	0	1	0	0	-300
32	0	1	0	1	1	-225
33	1	1	0	0	0	-300
34	1	1	0	1	0	-300
35	0	1	0	1	1	-225
36	0	1	0	0	1	-175
37	0	1	0	1	1	-225
38	0	1	0	1	1	-225
39	0	0	1	1	0	-300
40	0	1	0	1	1	-225
41	0	1	0	0	1	-175
42	0	0	1	0	0	-300
43	0	1	0	1	1	-225
44	0	0	1	0	0	-300
45	1	1	0	0	0	-300
46	0	1	0	1	1	-225
47	0	1	0	1	1	-225
48	0	1	0	1	1	-225
49	1	1	0	0	0	-300
50	0	1	0	1	1	-225
51	0	0	1	1	0	-300
52	1	1	0	1	0	-300
53	0	1	0	1	1	-225
54	0	1	0	1	1	-225
55	1	1	0	0	0	-300
56	0	0	1	0	0	-300
57	0	1	0	0	1	-175
58	0	1	0	0	1	-175
59	0	1	0	1	1	-225
60	0	1	0	1	1	-225
61	0	1	0	1	1	-225
62	0	1	0	0	1	-175
63	0	1	0	1	1	-225
64	0	0	1	0	0	-300
65	1	1	0	0	0	-300
66	0	1	0	0	1	-175
67	0	1	0	0	1	-175
68	0	1	0	1	1	-225
69	1	1	0	1	0	-300
70	0	1	0	1	1	-225
71	1	1	0	1	0	-300
72	0	1	0	0	1	-175
73	0	1	0	1	1	-225
74	0	1	0	1	1	-225
75	0	1	0	0	1	-175
76	0	0	1	1	0	-300
77	1	1	0	1	0	-300
78	0	1	0	0	1	-175
79	0	1	0	0	1	-175
80	0	1	0	0	1	-175
81	0	1	0	0	1	-175
82	0	1	0	1	1	-225
83	0	1	0	0	1	-175
84	0	0	1	0	0	-300
85	0	1	0	0	1	-175
86	0	1	0	1	1	-225
87	0	1	0	0	1	-175
88	0	1	0	0	1	-175
89	0	1	0	0	1	-175
90	0	1	0	0	1	-175
91	1	1	0	1	0	-300
92	0	1	0	1	1	-225
93	0	1	0	0	1	-175
94	1	0	0	1	2	-125
95	1	1	0	0	0	-300
96	0	1	0	0	1	-175
97	1	1	0	0	0	-300
98	0	1	0	1	1	-225
99	1	1	0	1	0	-300
100	0	1	0	1	1	-225
101	0	1	0	1	1	-225
102	0	1	0	0	1	-175
103	0	1	0	0	1	-175
104	0	1	0	0	1	-175
105	0	1	0	0	1	-175
106	1	1	0	1	0	-300
107	0	1	0	0	1	-175
108	0	1	0	0	1	-175
109	1	1	0	1	0	-300
110	0	1	0	1	1	-225
111	0	1	0	0	1	-175
112	1	1	0	0	0	-300
113	0	1	0	0	1	-175
114	0	1	0	1	1	-225
115	1	1	0	1	0	-300
116	0	1	0	1	1	-225
117	0	1	0	0	1	-175
118	0	1	0	0	1	-175
119	0	1	0	1	1	-225
120	0	0	1	1	0	-300
121	0	1	0	1	1	-225
122	0	1	0	0	1	-175
123	0	1	0	1	1	-225
124	0	1	0	1	1	-225
125	0	1	0	1	1	-225
126	0	1	0	0	1	-175
127	0	0	1	0	0	-300
128	0	1	0	0	1	-175
129	0	1	0	0	1	-175
130	0	1	0	0	1	-175
131	0	1	0	0	1	-175
132	0	1	0	1	1	-225
133	1	1	0	1	0	-300
134	0	1	0	0	1	-175
135	0	1	0	1	1	-225
136	0	1	0	1	1	-225
