ids	IO_board_fail	Logic_board_fail	System_State	Rework_Decision	Rework_Outcome	Rework_Cost
1	0	1	0	0	1	-175
2	0	1	0	0	1	-175
3	0	1	0	0	1	-175
4	0	1	0	1	1	-225
5	0	1	0	1	1	-225
6	0	1	0	0	1	-175
7	0	1	0	1	1	-225
8	0	1	0	1	1	-225
9	0	1	0	1	1	-225
10	0	1	0	0	1	-175
11	0	1	0	1	1	-225
12	0	1	0	1	1	-225
13	1	1	0	0	0	-300
14	0	0	1	1	0	-300
15	1	1	0	1	0	-300
16	0	1	0	1	1	-225
17	0	1	0	1	1	-225
18	0	1	0	1	1	-225
19	0	1	0	1	1	-225
20	0	1	0	1	1	-225
21	0	1	0	1	1	-225
22	1	1	0	1	0	-300
23	0	1	0	0	1	-175
24	0	1	0	1	1	-225
25	0	1	0	1	1	-225
26	1	1	0	1	0	-300
27	1	1	0	0	0	-300
28	0	1	0	1	1	-225
29	1	1	0	1	0	-300
30	0	1	0	0	1	-175
31	0	1	0	0	1	-175
32	0	0	1	0	0	-300
33	0	1	0	0	1	-175
34	0	1	0	1	1	-225
35	0	1	0	1	1	-225
36	0	1	0	1	1	-225
37	0	1	0	1	1	-225
38	0	1	0	1	1	-225
39	0	0	1	1	0	-300
40	0	1	0	1	1	-225
41	0	0	1	0	0	-300
42	0	1	0	0	1	-175
43	0	1	0	1	1	-225
44	0	1	0	0	1	-175
45	0	0	1	1	0	-300
46	0	1	0	1	1	-225
47	0	1	0	0	1	-175
48	1	1	0	1	0	-300
49	0	1	0	0	1	-175
50	0	1	0	1	1	-225
51	0	1	0	1	1	-225
52	0	1	0	1	1	-225
53	0	1	0	1	1	-225
54	0	0	1	1	0	-300
55	0	1	0	0	1	-175
56	0	1	0	1	1	-225
57	0	0	1	0	0	-300
58	0	1	0	0	1	-175
59	0	1	0	0	1	-175
60	0	1	0	1	1	-225
61	1	1	0	1	0	-300
62	0	1	0	1	1	-225
63	0	1	0	0	1	-175
64	0	1	0	1	1	-225
65	0	1	0	0	1	-175
66	0	1	0	0	1	-175
67	1	0	0	0	2	-200
68	0	1	0	1	1	-225
69	0	1	0	1	1	-225
70	1	0	0	0	2	-200
71	0	1	0	0	1	-175
72	0	1	0	1	1	-225
73	0	1	0	1	1	-225
74	0	0	1	1	0	-300
75	0	0	1	0	0	-300
76	0	1	0	0	1	-175
77	0	1	0	1	1	-225
78	0	0	1	0	0	-300
79	0	1	0	0	1	-175
80	0	1	0	0	1	-175
81	0	0	1	0	0	-300
82	0	0	1	0	0	-300
83	0	1	0	1	1	-225
84	1	1	0	1	0	-300
85	0	1	0	0	1	-175
86	0	1	0	1	1	-225
87	0	1	0	1	1	-225
88	0	1	0	0	1	-175
89	0	1	0	1	1	-225
90	1	0	0	1	2	-125
91	0	1	0	1	1	-225
92	0	1	0	0	1	-175
93	0	1	0	0	1	-175
94	0	1	0	0	1	-175
95	0	0	1	1	0	-300
96	1	1	0	0	0	-300
97	0	1	0	0	1	-175
98	0	1	0	1	1	-225
99	0	1	0	0	1	-175
100	0	0	1	0	0	-300
101	1	1	0	1	0	-300
102	0	1	0	1	1	-225
103	0	1	0	1	1	-225
104	0	1	0	1	1	-225
105	0	1	0	0	1	-175
106	0	1	0	0	1	-175
107	0	1	0	1	1	-225
108	0	1	0	0	1	-175
109	0	1	0	1	1	-225
110	0	1	0	1	1	-225
111	0	0	1	0	0	-300
112	0	1	0	1	1	-225
113	0	1	0	0	1	-175
114	0	1	0	0	1	-175
115	0	1	0	0	1	-175
116	1	1	0	0	0	-300
117	0	1	0	1	1	-225
118	0	0	1	1	0	-300
119	1	1	0	0	0	-300
120	0	1	0	1	1	-225
121	0	1	0	1	1	-225
122	1	1	0	1	0	-300
123	0	0	1	1	0	-300
124	0	1	0	1	1	-225
125	0	1	0	0	1	-175
126	0	1	0	1	1	-225
127	0	0	1	0	0	-300
128	0	1	0	0	1	-175
129	0	0	1	0	0	-300
130	0	1	0	1	1	-225
131	0	1	0	0	1	-175
132	0	1	0	1	1	-225
133	0	1	0	1	1	-225
134	0	1	0	0	1	-175
135	1	1	0	1	0	-300
136	0	1	0	0	1	-175
