IDnum	Rework_Decision	Logic_board_fail	IO_board_fail	System_State	Rework_Outcome	Rework_Cost
1	0	1	0	0	1	175
2	1	1	1	0	0	300
3	1	1	0	0	1	225
4	0	1	1	0	0	300
5	0	1	1	0	0	300
6	1	1	1	0	0	300
7	1	1	1	0	0	300
8	0	1	0	0	1	175
9	1	1	0	0	1	225
10	0	1	0	0	1	175
11	1	1	0	0	1	225
12	0	1	1	0	0	300
13	0	1	0	0	1	175
14	0	1	0	0	1	175
15	1	1	0	0	1	225
16	0	1	0	0	1	175
17	0	1	0	0	1	175
18	0	1	0	0	1	175
19	1	1	0	0	1	225
20	1	1	0	0	1	225
21	1	0	0	1	0	300
22	1	1	0	0	1	225
23	1	1	0	0	1	225
24	0	1	0	0	1	175
25	1	0	0	1	0	300
26	1	0	0	1	0	300
27	0	1	0	0	1	175
28	0	0	0	1	0	300
29	0	1	0	0	1	175
30	1	1	0	0	1	225
31	0	1	1	0	0	300
32	1	1	0	0	1	225
33	0	1	0	0	1	175
34	0	0	0	1	0	300
35	1	1	0	0	1	225
36	0	1	0	0	1	175
37	0	1	0	0	1	175
38	1	1	0	0	1	225
39	0	1	0	0	1	175
40	0	1	0	0	1	175
41	1	1	0	0	1	225
42	0	1	1	0	0	300
43	0	1	0	0	1	175
44	1	1	0	0	1	225
45	1	1	0	0	1	225
46	1	1	1	0	0	300
47	1	1	0	0	1	225
48	1	1	0	0	1	225
49	0	1	1	0	0	300
50	0	0	0	1	0	300
51	1	1	0	0	1	225
52	0	1	0	0	1	175
53	0	1	0	0	1	175
54	0	1	0	0	1	175
55	1	0	1	0	2	125
56	1	1	0	0	1	225
57	1	1	0	0	1	225
58	0	1	0	0	1	175
59	1	1	0	0	1	225
60	0	1	0	0	1	175
61	0	1	0	0	1	175
62	0	0	0	1	0	300
63	1	1	0	0	1	225
64	0	1	0	0	1	175
65	1	1	0	0	1	225
66	0	1	0	0	1	175
67	0	0	0	1	0	300
68	0	0	0	1	0	300
69	0	1	0	0	1	175
70	0	1	1	0	0	300
71	0	1	0	0	1	175
72	0	1	1	0	0	300
73	0	1	0	0	1	175
74	0	1	0	0	1	175
75	1	1	0	0	1	225
76	0	1	0	0	1	175
77	1	1	1	0	0	300
78	0	1	0	0	1	175
79	1	1	1	0	0	300
80	1	1	0	0	1	225
81	1	1	0	0	1	225
82	0	1	0	0	1	175
83	0	1	0	0	1	175
84	1	1	0	0	1	225
85	0	0	0	1	0	300
86	0	0	0	1	0	300
87	0	1	0	0	1	175
88	0	1	0	0	1	175
89	0	1	0	0	1	175
90	1	1	0	0	1	225
91	0	1	0	0	1	175
92	1	1	0	0	1	225
93	0	1	1	0	0	300
94	0	0	0	1	0	300
95	0	0	0	1	0	300
96	0	1	1	0	0	300
97	1	0	0	1	0	300
98	0	1	0	0	1	175
