ids	Logic_board_fail	IO_board_fail	System_State	Rework_Decision	Rework_Outcome	Rework_Cost
1	0	0	1	1	0	300
2	1	0	0	1	1	225
3	1	1	0	0	0	300
4	1	0	0	1	1	225
5	0	1	0	1	2	125
6	0	0	1	1	0	300
7	1	0	0	0	1	175
8	1	0	0	1	1	225
9	1	0	0	1	1	225
10	1	0	0	0	1	175
11	0	0	1	1	0	300
12	1	0	0	0	1	175
13	1	0	0	1	1	225
14	1	0	0	1	1	225
15	1	0	0	0	1	175
16	0	0	1	1	0	300
17	1	0	0	1	1	225
18	1	0	0	0	1	175
19	0	0	1	1	0	300
20	1	0	0	0	1	175
21	1	0	0	0	1	175
22	0	1	0	0	2	200
23	1	0	0	0	1	175
24	1	0	0	1	1	225
25	1	0	0	0	1	175
26	1	0	0	0	1	175
27	1	0	0	0	1	175
28	1	0	0	0	1	175
29	0	0	1	1	0	300
30	0	0	1	1	0	300
31	1	1	0	0	0	300
32	1	0	0	0	1	175
33	1	0	0	1	1	225
34	1	0	0	1	1	225
35	0	0	1	0	0	300
36	1	0	0	0	1	175
37	1	0	0	1	1	225
38	1	0	0	0	1	175
39	1	0	0	1	1	225
40	1	1	0	1	0	300
41	0	0	1	0	0	300
42	1	0	0	0	1	175
43	1	0	0	0	1	175
44	1	0	0	0	1	175
45	1	0	0	1	1	225
46	1	0	0	0	1	175
47	1	0	0	1	1	225
48	1	0	0	1	1	225
49	0	0	1	1	0	300
50	0	0	1	1	0	300
51	1	0	0	0	1	175
52	1	0	0	0	1	175
53	1	0	0	0	1	175
54	1	0	0	0	1	175
55	1	0	0	1	1	225
56	1	0	0	0	1	175
57	1	0	0	0	1	175
58	1	0	0	0	1	175
59	1	0	0	1	1	225
60	1	0	0	1	1	225
61	1	0	0	0	1	175
62	0	0	1	0	0	300
63	1	0	0	1	1	225
64	0	0	1	1	0	300
65	1	0	0	0	1	175
66	1	0	0	1	1	225
67	1	0	0	0	1	175
68	1	0	0	1	1	225
69	0	0	1	1	0	300
70	1	0	0	1	1	225
71	1	1	0	0	0	300
72	1	0	0	0	1	175
73	0	1	0	0	2	200
74	0	0	1	0	0	300
75	1	0	0	1	1	225
76	1	0	0	1	1	225
77	1	1	0	1	0	300
78	1	0	0	1	1	225
79	1	0	0	0	1	175
80	1	0	0	0	1	175
81	1	0	0	0	1	175
82	1	0	0	0	1	175
83	1	0	0	0	1	175
84	1	0	0	0	1	175
85	1	0	0	1	1	225
86	1	0	0	1	1	225
87	0	0	1	1	0	300
88	1	0	0	1	1	225
89	1	0	0	0	1	175
90	1	0	0	0	1	175
91	1	0	0	1	1	225
92	1	0	0	0	1	175
93	1	0	0	1	1	225
94	1	1	0	0	0	300
95	1	0	0	0	1	175
96	1	0	0	1	1	225
97	1	1	0	1	0	300
98	0	1	0	0	2	200
99	0	0	1	0	0	300
100	1	0	0	0	1	175
101	0	0	1	0	0	300
102	0	0	1	1	0	300
103	1	0	0	1	1	225
104	1	0	0	1	1	225
105	1	0	0	1	1	225
106	1	0	0	1	1	225
107	1	1	0	0	0	300
108	1	0	0	1	1	225
109	1	0	0	0	1	175
110	1	0	0	0	1	175
111	1	0	0	1	1	225
112	1	0	0	0	1	175
113	0	0	1	1	0	300
114	0	0	1	0	0	300
115	0	0	1	0	0	300
116	1	0	0	1	1	225
117	1	1	0	0	0	300
118	1	0	0	0	1	175
119	1	0	0	1	1	225
120	1	0	0	0	1	175
121	1	0	0	0	1	175
122	1	0	0	0	1	175
123	1	0	0	1	1	225
124	1	0	0	0	1	175
125	1	0	0	0	1	175
126	1	0	0	1	1	225
127	1	1	0	1	0	300
128	1	0	0	0	1	175
129	1	0	0	0	1	175
130	0	0	1	0	0	300
131	0	0	1	0	0	300
132	1	1	0	0	0	300
133	1	0	0	1	1	225
134	1	0	0	1	1	225
135	1	1	0	0	0	300
136	1	0	0	0	1	175
137	1	0	0	1	1	225
138	0	0	1	1	0	300
139	1	0	0	1	1	225
140	1	1	0	0	0	300
141	1	0	0	0	1	175
142	1	0	0	0	1	175
143	1	1	0	0	0	300
144	1	0	0	1	1	225
145	1	1	0	1	0	300
146	1	0	0	0	1	175
147	1	0	0	1	1	225
148	1	0	0	1	1	225
149	1	0	0	0	1	175
150	0	0	1	0	0	300
151	1	0	0	1	1	225
152	1	0	0	0	1	175
153	1	0	0	0	1	175
154	0	0	1	1	0	300
155	0	0	1	1	0	300
156	0	0	1	0	0	300
157	1	1	0	0	0	300
158	1	0	0	0	1	175
159	0	0	1	0	0	300
160	1	0	0	1	1	225
161	1	0	0	0	1	175
162	1	0	0	0	1	175
163	1	1	0	0	0	300
164	1	0	0	0	1	175
165	1	0	0	0	1	175
166	1	0	0	1	1	225
167	0	0	1	0	0	300
168	1	0	0	0	1	175
169	1	0	0	1	1	225
170	1	0	0	0	1	175
171	1	0	0	0	1	175
172	0	0	1	1	0	300
173	1	1	0	1	0	300
174	1	0	0	0	1	175
175	0	0	1	1	0	300
176	1	0	0	0	1	175
177	0	0	1	1	0	300
178	1	0	0	1	1	225
179	1	0	0	1	1	225
180	1	0	0	0	1	175
181	0	1	0	1	2	125
182	1	0	0	1	1	225
183	1	1	0	1	0	300
184	0	0	1	1	0	300
185	1	0	0	1	1	225
186	1	0	0	0	1	175
187	1	0	0	1	1	225
188	1	0	0	1	1	225
189	1	0	0	0	1	175
190	1	0	0	1	1	225
191	1	0	0	0	1	175
192	1	0	0	1	1	225
193	1	0	0	1	1	225
194	1	0	0	0	1	175
195	1	0	0	0	1	175
196	1	0	0	0	1	175
197	1	0	0	1	1	225
198	1	0	0	0	1	175
199	1	0	0	0	1	175
200	1	0	0	1	1	225
201	0	0	1	1	0	300
202	0	1	0	1	2	125
203	1	1	0	0	0	300
204	1	0	0	1	1	225
205	1	0	0	1	1	225
206	1	1	0	1	0	300
207	1	1	0	1	0	300
208	1	0	0	0	1	175
209	1	0	0	1	1	225
210	1	0	0	1	1	225
211	0	0	1	0	0	300
212	1	0	0	0	1	175
213	1	0	0	1	1	225
214	1	0	0	1	1	225
215	0	0	1	1	0	300
216	1	0	0	0	1	175
217	1	1	0	0	0	300
218	0	1	0	0	2	200
219	1	0	0	1	1	225
220	0	0	1	0	0	300
221	1	0	0	0	1	175
222	1	0	0	0	1	175
223	1	1	0	0	0	300
224	1	0	0	1	1	225
225	1	1	0	0	0	300
226	1	1	0	1	0	300
227	1	0	0	1	1	225
228	1	1	0	0	0	300
229	1	0	0	1	1	225
230	1	0	0	0	1	175
231	1	0	0	0	1	175
232	1	1	0	0	0	300
233	1	0	0	1	1	225
234	1	0	0	0	1	175
235	1	0	0	1	1	225
236	1	0	0	0	1	175
237	1	0	0	0	1	175
238	1	0	0	1	1	225
239	1	0	0	1	1	225
240	1	0	0	0	1	175
241	1	0	0	1	1	225
242	1	0	0	1	1	225
243	1	0	0	0	1	175
244	1	1	0	1	0	300
245	1	0	0	1	1	225
246	1	0	0	0	1	175
247	0	0	1	1	0	300
248	1	0	0	1	1	225
249	1	0	0	0	1	175
250	1	0	0	0	1	175
251	1	0	0	1	1	225
252	1	0	0	1	1	225
253	1	0	0	0	1	175
254	1	0	0	1	1	225
255	1	0	0	0	1	175
256	1	0	0	0	1	175
257	1	0	0	0	1	175
258	1	0	0	0	1	175
259	1	1	0	1	0	300
260	1	0	0	1	1	225
261	0	0	1	1	0	300
262	1	0	0	0	1	175
263	1	0	0	1	1	225
264	1	0	0	0	1	175
265	1	0	0	1	1	225
266	1	0	0	1	1	225
267	1	0	0	0	1	175
268	1	1	0	1	0	300
269	1	0	0	1	1	225
270	1	0	0	0	1	175
271	0	0	1	1	0	300
272	0	0	1	1	0	300
273	1	1	0	1	0	300
274	1	0	0	1	1	225
275	1	0	0	0	1	175
276	1	1	0	0	0	300
277	0	0	1	0	0	300
278	1	0	0	1	1	225
279	1	0	0	0	1	175
280	1	0	0	0	1	175
281	1	0	0	1	1	225
282	1	0	0	1	1	225
283	1	0	0	0	1	175
284	1	0	0	1	1	225
285	1	0	0	1	1	225
286	0	0	1	1	0	300
287	1	0	0	1	1	225
288	1	0	0	0	1	175
289	0	0	1	0	0	300
290	0	0	1	0	0	300
291	1	0	0	1	1	225
292	1	0	0	0	1	175
293	0	0	1	0	0	300
294	1	0	0	0	1	175
295	1	0	0	0	1	175
296	1	1	0	1	0	300
297	1	1	0	1	0	300
298	1	0	0	1	1	225
299	1	0	0	1	1	225
300	0	0	1	0	0	300
301	1	0	0	0	1	175
302	1	0	0	1	1	225
303	1	0	0	1	1	225
304	1	1	0	0	0	300
305	1	0	0	0	1	175
306	1	1	0	0	0	300
307	1	1	0	0	0	300
308	1	0	0	0	1	175
309	1	0	0	1	1	225
310	1	0	0	0	1	175
311	1	0	0	0	1	175
312	1	0	0	0	1	175
313	0	0	1	0	0	300
314	1	0	0	1	1	225
315	0	0	1	1	0	300
316	1	0	0	0	1	175
317	1	0	0	0	1	175
318	1	0	0	0	1	175
319	1	0	0	1	1	225
320	1	0	0	1	1	225
321	1	0	0	1	1	225
322	1	0	0	1	1	225
323	1	0	0	0	1	175
324	1	0	0	1	1	225
325	1	0	0	0	1	175
326	1	0	0	0	1	175
327	1	0	0	0	1	175
328	0	1	0	1	2	125
329	1	0	0	1	1	225
330	1	0	0	1	1	225
331	1	0	0	1	1	225
332	0	0	1	0	0	300
333	1	0	0	1	1	225
334	1	0	0	0	1	175
335	1	0	0	0	1	175
336	0	1	0	1	2	125
337	1	1	0	0	0	300
338	1	0	0	0	1	175
