ids	IO_board_fail	Logic_board_fail	System_State	Rework_Decision	Rework_Outcome	Rework_Cost
1	0	1	0	0	1	-175
2	0	1	0	0	1	-175
3	0	1	0	1	1	-225
4	0	0	1	0	0	-300
5	1	1	0	1	0	-300
6	1	1	0	1	0	-300
7	0	1	0	1	1	-225
8	1	0	0	1	2	-125
9	0	1	0	0	1	-175
10	0	1	0	0	1	-175
11	0	1	0	1	1	-225
12	0	1	0	1	1	-225
13	1	1	0	0	0	-300
14	0	1	0	1	1	-225
15	0	1	0	1	1	-225
16	0	0	1	0	0	-300
17	0	1	0	1	1	-225
18	0	1	0	0	1	-175
19	0	1	0	0	1	-175
20	0	1	0	0	1	-175
21	0	1	0	1	1	-225
22	0	1	0	0	1	-175
23	1	1	0	0	0	-300
24	0	1	0	1	1	-225
25	0	1	0	0	1	-175
26	1	1	0	1	0	-300
27	0	0	1	1	0	-300
28	0	0	1	1	0	-300
29	0	1	0	1	1	-225
30	0	0	1	0	0	-300
31	0	1	0	1	1	-225
32	0	1	0	1	1	-225
33	1	1	0	1	0	-300
34	0	1	0	0	1	-175
35	1	1	0	1	0	-300
36	1	1	0	0	0	-300
37	0	0	1	1	0	-300
38	0	1	0	0	1	-175
39	0	1	0	1	1	-225
40	0	1	0	1	1	-225
41	0	1	0	0	1	-175
42	0	1	0	1	1	-225
43	1	0	0	1	2	-125
44	0	1	0	0	1	-175
45	0	1	0	0	1	-175
46	0	1	0	0	1	-175
47	0	1	0	0	1	-175
48	0	1	0	0	1	-175
49	0	1	0	0	1	-175
50	0	1	0	0	1	-175
51	1	1	0	0	0	-300
52	0	1	0	1	1	-225
53	0	1	0	1	1	-225
54	1	1	0	1	0	-300
55	1	1	0	1	0	-300
56	1	1	0	1	0	-300
57	0	1	0	1	1	-225
58	0	1	0	0	1	-175
59	1	1	0	1	0	-300
60	0	1	0	0	1	-175
61	0	1	0	0	1	-175
62	0	0	1	1	0	-300
63	1	1	0	0	0	-300
64	1	1	0	0	0	-300
65	0	1	0	1	1	-225
66	1	0	0	0	2	-200
67	0	0	1	1	0	-300
68	0	1	0	0	1	-175
69	0	1	0	0	1	-175
70	0	1	0	0	1	-175
71	1	1	0	0	0	-300
72	0	1	0	1	1	-225
73	0	1	0	0	1	-175
74	0	1	0	0	1	-175
75	0	1	0	1	1	-225
76	0	1	0	1	1	-225
77	0	1	0	0	1	-175
78	0	1	0	1	1	-225
79	0	1	0	1	1	-225
80	1	0	0	0	2	-200
81	0	1	0	0	1	-175
82	0	1	0	1	1	-225
83	0	1	0	0	1	-175
84	0	1	0	0	1	-175
85	0	1	0	1	1	-225
86	0	1	0	0	1	-175
87	0	0	1	1	0	-300
88	0	1	0	0	1	-175
89	0	1	0	0	1	-175
90	0	0	1	1	0	-300
91	0	0	1	1	0	-300
92	0	1	0	0	1	-175
93	0	1	0	1	1	-225
94	0	0	1	1	0	-300
95	0	1	0	1	1	-225
96	0	1	0	0	1	-175
97	0	1	0	1	1	-225
98	0	1	0	1	1	-225
99	0	1	0	0	1	-175
100	0	1	0	0	1	-175
101	1	1	0	0	0	-300
102	0	1	0	1	1	-225
103	1	1	0	1	0	-300
104	0	1	0	1	1	-225
105	0	1	0	0	1	-175
106	0	1	0	1	1	-225
107	0	0	1	1	0	-300
108	0	1	0	0	1	-175
109	1	1	0	1	0	-300
110	0	1	0	0	1	-175
111	0	1	0	0	1	-175
112	0	1	0	0	1	-175
113	0	1	0	0	1	-175
114	0	1	0	1	1	-225
115	0	1	0	0	1	-175
116	1	1	0	0	0	-300
117	0	1	0	0	1	-175
118	1	1	0	1	0	-300
119	0	0	1	1	0	-300
120	0	1	0	0	1	-175
121	0	1	0	0	1	-175
122	0	1	0	0	1	-175
123	0	1	0	0	1	-175
124	0	1	0	1	1	-225
125	0	0	1	1	0	-300
126	0	1	0	0	1	-175
127	0	1	0	1	1	-225
128	0	1	0	1	1	-225
129	0	1	0	1	1	-225
130	0	1	0	1	1	-225
131	0	1	0	0	1	-175
132	1	0	0	0	2	-200
133	0	1	0	1	1	-225
134	0	1	0	0	1	-175
135	0	1	0	1	1	-225
136	1	1	0	0	0	-300
