IDnum	Rework_Decision	Logic_board_fail	IO_board_fail	System_State	Rework_Outcome	Rework_Cost
1	Logic_board	Yes	No	Failed	L0_IO1	175
2	IO_board	Yes	Yes	Failed	L0_IO0	300
3	IO_board	Yes	No	Failed	L0_IO1	225
4	Logic_board	Yes	Yes	Failed	L0_IO0	300
5	Logic_board	Yes	Yes	Failed	L0_IO0	300
6	IO_board	Yes	Yes	Failed	L0_IO0	300
7	IO_board	Yes	Yes	Failed	L0_IO0	300
8	Logic_board	Yes	No	Failed	L0_IO1	175
9	IO_board	Yes	No	Failed	L0_IO1	225
10	Logic_board	Yes	No	Failed	L0_IO1	175
11	IO_board	Yes	No	Failed	L0_IO1	225
12	Logic_board	Yes	Yes	Failed	L0_IO0	300
13	Logic_board	Yes	No	Failed	L0_IO1	175
14	Logic_board	Yes	No	Failed	L0_IO1	175
15	IO_board	Yes	No	Failed	L0_IO1	225
16	Logic_board	Yes	No	Failed	L0_IO1	175
17	Logic_board	Yes	No	Failed	L0_IO1	175
18	Logic_board	Yes	No	Failed	L0_IO1	175
19	IO_board	Yes	No	Failed	L0_IO1	225
20	IO_board	Yes	No	Failed	L0_IO1	225
21	IO_board	No	No	Operational	L0_IO0	300
22	IO_board	Yes	No	Failed	L0_IO1	225
23	IO_board	Yes	No	Failed	L0_IO1	225
24	Logic_board	Yes	No	Failed	L0_IO1	175
25	IO_board	No	No	Operational	L0_IO0	300
26	IO_board	No	No	Operational	L0_IO0	300
27	Logic_board	Yes	No	Failed	L0_IO1	175
28	Logic_board	No	No	Operational	L0_IO0	300
29	Logic_board	Yes	No	Failed	L0_IO1	175
30	IO_board	Yes	No	Failed	L0_IO1	225
31	Logic_board	Yes	Yes	Failed	L0_IO0	300
32	IO_board	Yes	No	Failed	L0_IO1	225
33	Logic_board	Yes	No	Failed	L0_IO1	175
34	Logic_board	No	No	Operational	L0_IO0	300
35	IO_board	Yes	No	Failed	L0_IO1	225
36	Logic_board	Yes	No	Failed	L0_IO1	175
37	Logic_board	Yes	No	Failed	L0_IO1	175
38	IO_board	Yes	No	Failed	L0_IO1	225
39	Logic_board	Yes	No	Failed	L0_IO1	175
40	Logic_board	Yes	No	Failed	L0_IO1	175
41	IO_board	Yes	No	Failed	L0_IO1	225
42	Logic_board	Yes	Yes	Failed	L0_IO0	300
43	Logic_board	Yes	No	Failed	L0_IO1	175
44	IO_board	Yes	No	Failed	L0_IO1	225
45	IO_board	Yes	No	Failed	L0_IO1	225
46	IO_board	Yes	Yes	Failed	L0_IO0	300
47	IO_board	Yes	No	Failed	L0_IO1	225
48	IO_board	Yes	No	Failed	L0_IO1	225
49	Logic_board	Yes	Yes	Failed	L0_IO0	300
50	Logic_board	No	No	Operational	L0_IO0	300
51	IO_board	Yes	No	Failed	L0_IO1	225
52	Logic_board	Yes	No	Failed	L0_IO1	175
53	Logic_board	Yes	No	Failed	L0_IO1	175
54	Logic_board	Yes	No	Failed	L0_IO1	175
55	IO_board	No	Yes	Failed	L1_IO0	125
56	IO_board	Yes	No	Failed	L0_IO1	225
57	IO_board	Yes	No	Failed	L0_IO1	225
58	Logic_board	Yes	No	Failed	L0_IO1	175
59	IO_board	Yes	No	Failed	L0_IO1	225
60	Logic_board	Yes	No	Failed	L0_IO1	175
61	Logic_board	Yes	No	Failed	L0_IO1	175
62	Logic_board	No	No	Operational	L0_IO0	300
63	IO_board	Yes	No	Failed	L0_IO1	225
64	Logic_board	Yes	No	Failed	L0_IO1	175
65	IO_board	Yes	No	Failed	L0_IO1	225
66	Logic_board	Yes	No	Failed	L0_IO1	175
67	Logic_board	No	No	Operational	L0_IO0	300
68	Logic_board	No	No	Operational	L0_IO0	300
69	Logic_board	Yes	No	Failed	L0_IO1	175
70	Logic_board	Yes	Yes	Failed	L0_IO0	300
71	Logic_board	Yes	No	Failed	L0_IO1	175
72	Logic_board	Yes	Yes	Failed	L0_IO0	300
73	Logic_board	Yes	No	Failed	L0_IO1	175
74	Logic_board	Yes	No	Failed	L0_IO1	175
75	IO_board	Yes	No	Failed	L0_IO1	225
76	Logic_board	Yes	No	Failed	L0_IO1	175
77	IO_board	Yes	Yes	Failed	L0_IO0	300
78	Logic_board	Yes	No	Failed	L0_IO1	175
79	IO_board	Yes	Yes	Failed	L0_IO0	300
80	IO_board	Yes	No	Failed	L0_IO1	225
81	IO_board	Yes	No	Failed	L0_IO1	225
82	Logic_board	Yes	No	Failed	L0_IO1	175
83	Logic_board	Yes	No	Failed	L0_IO1	175
84	IO_board	Yes	No	Failed	L0_IO1	225
85	Logic_board	No	No	Operational	L0_IO0	300
86	Logic_board	No	No	Operational	L0_IO0	300
87	Logic_board	Yes	No	Failed	L0_IO1	175
88	Logic_board	Yes	No	Failed	L0_IO1	175
89	Logic_board	Yes	No	Failed	L0_IO1	175
90	IO_board	Yes	No	Failed	L0_IO1	225
91	Logic_board	Yes	No	Failed	L0_IO1	175
92	IO_board	Yes	No	Failed	L0_IO1	225
93	Logic_board	Yes	Yes	Failed	L0_IO0	300
94	Logic_board	No	No	Operational	L0_IO0	300
95	Logic_board	No	No	Operational	L0_IO0	300
96	Logic_board	Yes	Yes	Failed	L0_IO0	300
97	IO_board	No	No	Operational	L0_IO0	300
98	Logic_board	Yes	No	Failed	L0_IO1	175
99	IO_board	Yes	No	Failed	L0_IO1	225
