 IDnum	Economical_State	Export_Decision	Profit
1	1	1	9.005e5
2	1	0	-7.11e5
3	1	2	7.66e5
4	0	0	2.726e6
5	0	0	2.726e6
6	1	2	7.66e5
7	2	1	1.6945e6
8	2	1	1.6945e6
9	1	2	7.66e5
10	2	0	1.87e6
11	1	1	9.005e5
12	2	2	1.425e6
13	1	2	7.66e5
14	2	0	1.87e6
15	1	1	9.005e5
16	0	0	2.726e6
17	0	2	2.1e5
18	1	0	-7.11e5
19	0	1	2.357e6
20	1	1	9.005e5
21	2	1	1.6945e6
22	0	2	2.1e5
23	1	0	-7.11e5
24	0	2	2.1e5
25	1	2	7.66e5
26	0	1	2.357e6
27	0	1	2.357e6
28	0	2	2.1e5
29	1	2	7.66e5
30	0	2	2.1e5
31	0	0	2.726e6
32	0	0	2.726e6
33	2	2	1.425e6
34	1	2	7.66e5
35	2	2	1.425e6
36	0	1	2.357e6
37	0	0	2.726e6
38	1	1	9.005e5
39	0	2	2.1e5
40	1	2	7.66e5
41	2	1	1.6945e6
42	1	2	7.66e5
43	0	2	2.1e5
44	0	1	2.357e6
45	1	0	-7.11e5
46	2	2	1.425e6
47	0	2	2.1e5
48	2	0	1.87e6
49	1	1	9.005e5
50	2	1	1.6945e6
51	1	1	9.005e5
52	0	0	2.726e6
53	2	0	1.87e6
54	2	1	1.6945e6
55	2	2	1.425e6
56	1	2	7.66e5
57	0	2	2.1e5
58	2	0	1.87e6
59	0	0	2.726e6
60	0	1	2.357e6
61	2	2	1.425e6
62	0	0	2.726e6
63	0	1	2.357e6
64	2	2	1.425e6
65	0	0	2.726e6
66	2	1	1.6945e6
67	0	2	2.1e5
68	2	1	1.6945e6
69	2	0	1.87e6
70	0	2	2.1e5
71	2	2	1.425e6
72	0	2	2.1e5
73	0	2	2.1e5
74	1	0	-7.11e5
75	0	1	2.357e6
76	2	0	1.87e6
77	1	0	-7.11e5
78	1	1	9.005e5
79	1	2	7.66e5
80	2	0	1.87e6
81	0	0	2.726e6
82	0	0	2.726e6
83	1	1	9.005e5
84	2	0	1.87e6
85	2	0	1.87e6
86	1	0	-7.11e5
87	2	0	1.87e6
88	0	2	2.1e5
89	0	1	2.357e6
90	2	2	1.425e6
91	1	2	7.66e5
92	0	2	2.1e5
93	0	2	2.1e5
94	2	2	1.425e6
95	1	2	7.66e5
96	1	0	-7.11e5
97	0	1	2.357e6
98	2	2	1.425e6
99	1	2	7.66e5
100	1	0	-7.11e5
101	2	1	1.6945e6
102	1	2	7.66e5
103	0	1	2.357e6
104	1	2	7.66e5
105	2	2	1.425e6
106	1	2	7.66e5
107	2	1	1.6945e6
108	2	2	1.425e6
109	0	0	2.726e6
110	1	2	7.66e5
111	0	2	2.1e5
112	0	2	2.1e5
113	0	2	2.1e5
114	0	1	2.357e6
115	0	1	2.357e6
116	1	0	-7.11e5
117	0	2	2.1e5
118	1	2	7.66e5
119	1	1	9.005e5
120	1	2	7.66e5
121	2	1	1.6945e6
122	2	2	1.425e6
123	0	1	2.357e6
124	2	0	1.87e6
125	0	0	2.726e6
126	2	1	1.6945e6
127	0	2	2.1e5
128	2	2	1.425e6
129	2	0	1.87e6
130	1	2	7.66e5
131	0	1	2.357e6
132	2	0	1.87e6
133	2	1	1.6945e6
134	1	0	-7.11e5
135	0	1	2.357e6
136	0	1	2.357e6
137	0	1	2.357e6
138	0	2	2.1e5
139	1	1	9.005e5
140	2	1	1.6945e6
141	0	2	2.1e5
142	0	1	2.357e6
143	0	0	2.726e6
144	0	0	2.726e6
145	1	2	7.66e5
146	1	1	9.005e5
147	2	1	1.6945e6
148	2	1	1.6945e6
149	2	2	1.425e6
150	0	2	2.1e5
151	1	2	7.66e5
152	0	0	2.726e6
153	2	0	1.87e6
154	1	1	9.005e5
155	2	1	1.6945e6
156	0	2	2.1e5
157	2	0	1.87e6
158	2	2	1.425e6
159	0	0	2.726e6
160	0	0	2.726e6
161	2	2	1.425e6
162	1	0	-7.11e5
163	1	2	7.66e5
164	1	2	7.66e5
165	2	2	1.425e6
166	0	0	2.726e6
167	2	2	1.425e6
168	1	1	9.005e5
169	1	1	9.005e5
170	2	2	1.425e6
171	0	1	2.357e6
172	2	0	1.87e6
173	2	0	1.87e6
174	0	2	2.1e5
175	2	2	1.425e6
176	0	1	2.357e6
177	2	1	1.6945e6
178	2	1	1.6945e6
179	0	2	2.1e5
180	1	1	9.005e5
181	0	2	2.1e5
182	2	2	1.425e6
183	1	0	-7.11e5
184	2	0	1.87e6
185	0	2	2.1e5
186	1	0	-7.11e5
187	0	1	2.357e6
188	2	1	1.6945e6
189	2	1	1.6945e6
190	1	2	7.66e5
191	2	2	1.425e6
192	1	1	9.005e5
193	2	1	1.6945e6
194	1	0	-7.11e5
195	0	1	2.357e6
196	1	0	-7.11e5
197	0	1	2.357e6
198	0	1	2.357e6
199	0	1	2.357e6
200	1	2	7.66e5
201	1	0	-7.11e5
202	1	1	9.005e5
203	2	2	1.425e6
204	2	0	1.87e6
205	2	0	1.87e6
206	0	1	2.357e6
207	2	2	1.425e6
208	1	2	7.66e5
209	0	2	2.1e5
210	0	0	2.726e6
211	1	2	7.66e5
212	1	1	9.005e5
213	2	0	1.87e6
214	0	2	2.1e5
