ids	Export_Decision	Economical_State	Profit
1	1	2	1694500
2	1	0	2357000
3	1	2	1694500
4	0	2	1870000
5	0	1	-711000
6	0	0	2726000
7	0	1	-711000
8	1	0	2357000
9	2	1	766000
10	1	0	2357000
11	0	0	2726000
12	0	0	2726000
13	2	2	1425000
14	1	1	900500
15	0	2	1870000
16	2	0	210000
17	2	1	766000
18	1	2	1694500
19	1	1	900500
20	1	2	1694500
21	2	0	210000
22	1	1	900500
23	1	2	1694500
24	2	2	1425000
25	2	0	210000
26	1	1	900500
27	1	0	2357000
28	0	1	-711000
29	2	0	210000
30	1	2	1694500
31	0	1	-711000
32	1	2	1694500
33	1	0	2357000
34	0	1	-711000
35	1	1	900500
36	2	0	210000
37	2	0	210000
38	2	2	1425000
39	0	0	2726000
40	1	1	900500
41	1	0	2357000
42	2	1	766000
43	0	1	-711000
44	0	2	1870000
45	1	1	900500
46	1	1	900500
47	0	2	1870000
48	0	0	2726000
49	0	0	2726000
50	1	1	900500
51	0	2	1870000
52	0	1	-711000
53	1	0	2357000
54	1	0	2357000
55	0	2	1870000
56	0	0	2726000
57	2	2	1425000
58	2	0	210000
59	0	1	-711000
60	0	1	-711000
61	2	2	1425000
62	0	0	2726000
63	0	1	-711000
64	1	1	900500
65	2	2	1425000
66	0	2	1870000
67	0	0	2726000
68	1	2	1694500
69	0	2	1870000
70	0	0	2726000
71	1	0	2357000
72	2	0	210000
73	1	1	900500
74	0	0	2726000
75	2	0	210000
76	0	2	1870000
77	2	0	210000
78	2	1	766000
79	1	1	900500
80	1	2	1694500
81	2	0	210000
82	0	0	2726000
83	2	0	210000
84	2	1	766000
85	1	1	900500
86	2	2	1425000
87	2	0	210000
88	2	0	210000
89	0	0	2726000
90	1	2	1694500
91	1	2	1694500
92	0	1	-711000
93	0	2	1870000
94	2	1	766000
95	1	1	900500
96	2	2	1425000
97	2	0	210000
98	1	1	900500
99	0	0	2726000
100	2	1	766000
101	1	0	2357000
102	1	0	2357000
103	0	2	1870000
104	0	2	1870000
105	2	0	210000
106	0	0	2726000
107	2	0	210000
108	0	1	-711000
109	2	1	766000
110	1	1	900500
111	0	1	-711000
112	2	0	210000
113	2	1	766000
114	2	1	766000
115	0	1	-711000
116	0	1	-711000
117	2	0	210000
118	0	0	2726000
119	0	0	2726000
120	1	0	2357000
121	0	0	2726000
122	2	2	1425000
123	2	1	766000
124	1	1	900500
125	1	2	1694500
126	2	2	1425000
127	0	0	2726000
128	1	1	900500
129	1	2	1694500
130	0	1	-711000
131	1	2	1694500
132	2	0	210000
133	0	0	2726000
134	1	0	2357000
135	2	0	210000
136	0	2	1870000
137	0	0	2726000
138	2	1	766000
139	0	1	-711000
140	2	2	1425000
141	1	0	2357000
142	0	1	-711000
143	2	2	1425000
144	2	1	766000
145	1	1	900500
146	0	1	-711000
147	0	0	2726000
148	2	2	1425000
149	0	0	2726000
150	1	2	1694500
151	0	0	2726000
152	1	2	1694500
153	0	0	2726000
154	0	2	1870000
155	1	0	2357000
156	0	1	-711000
157	0	2	1870000
158	0	1	-711000
159	1	2	1694500
160	2	1	766000
161	1	0	2357000
162	1	1	900500
163	1	0	2357000
164	2	0	210000
165	2	0	210000
166	1	2	1694500
167	1	0	2357000
168	1	2	1694500
169	0	2	1870000
170	0	0	2726000
171	1	1	900500
172	0	2	1870000
173	2	0	210000
174	1	0	2357000
175	0	0	2726000
176	1	0	2357000
177	1	1	900500
178	0	2	1870000
179	0	0	2726000
180	1	1	900500
181	1	1	900500
182	2	0	210000
183	0	2	1870000
184	1	1	900500
185	1	0	2357000
186	2	2	1425000
187	1	0	2357000
188	1	2	1694500
189	2	1	766000
190	2	1	766000
191	2	0	210000
192	0	0	2726000
193	1	0	2357000
194	2	2	1425000
195	2	0	210000
196	2	2	1425000
197	2	1	766000
198	1	1	900500
199	1	1	900500
200	2	0	210000
201	0	0	2726000
202	1	2	1694500
203	1	2	1694500
204	0	2	1870000
205	0	0	2726000
206	1	1	900500
207	1	1	900500
208	1	1	900500
209	1	1	900500
210	0	2	1870000
211	2	2	1425000
212	2	1	766000
213	1	2	1694500
214	2	0	210000
215	0	2	1870000
216	1	1	900500
217	0	2	1870000
218	0	0	2726000
219	0	0	2726000
220	0	0	2726000
221	2	1	766000
222	2	0	210000
223	2	2	1425000
224	0	0	2726000
225	0	0	2726000
226	1	1	900500
227	1	2	1694500
228	1	0	2357000
229	0	1	-711000
230	2	2	1425000
231	0	1	-711000
232	1	2	1694500
233	0	1	-711000
234	1	0	2357000
235	2	0	210000
236	0	0	2726000
237	2	1	766000
238	0	1	-711000
239	1	2	1694500
240	1	0	2357000
241	0	0	2726000
242	2	0	210000
243	1	0	2357000
244	2	2	1425000
245	2	0	210000
246	2	0	210000
247	2	2	1425000
248	1	2	1694500
249	2	1	766000
250	1	2	1694500
251	0	2	1870000
252	1	0	2357000
253	1	0	2357000
254	0	1	-711000
255	2	1	766000
256	2	1	766000
257	0	2	1870000
258	0	0	2726000
259	1	0	2357000
260	2	0	210000
261	2	2	1425000
262	2	1	766000
263	2	1	766000
264	0	1	-711000
265	0	0	2726000
266	0	2	1870000
267	2	2	1425000
268	2	2	1425000
269	0	1	-711000
270	0	0	2726000
271	1	2	1694500
272	0	1	-711000
273	2	0	210000
274	0	1	-711000
