 IDnum	Installation_Type	Coal_Worker_Strike	Strike_Resolution	Strike_Intervention	Additional_Cost
1	New_cleaner_coal	Yes	Quick	No	-3e6
2	Install_scrubbers	Yes	Quick	Yes	-3e6
3	New_cleaner_coal	Yes	Quick	No	-3e6
4	New_cleaner_coal	Yes	Quick	No	-3e6
5	New_cleaner_coal	Yes	Quick	Yes	-4.5e6
6	Install_scrubbers	Yes	Lengthy	No	-3e6
7	New_cleaner_coal	Yes	Quick	Yes	-4.5e6
8	New_cleaner_coal	Yes	Quick	Yes	-4.5e6
9	New_cleaner_coal	No	Quick	No	-1.5e6
10	Install_scrubbers	No	Lengthy	No	-3e6
11	Install_scrubbers	Yes	Quick	No	-3e6
12	Install_scrubbers	No	Quick	No	-3e6
13	Install_scrubbers	Yes	Quick	Yes	-3e6
14	Install_scrubbers	No	Lengthy	Yes	-3e6
15	Install_scrubbers	Yes	Quick	No	-3e6
16	Install_scrubbers	No	Quick	Yes	-3e6
17	New_cleaner_coal	Yes	Quick	No	-3e6
18	Install_scrubbers	No	Quick	Yes	-3e6
19	Install_scrubbers	Yes	Lengthy	No	-3e6
20	New_cleaner_coal	Yes	Lengthy	No	-5e6
21	New_cleaner_coal	Yes	Quick	Yes	-4.5e6
22	New_cleaner_coal	Yes	Quick	Yes	-4.5e6
23	New_cleaner_coal	Yes	Quick	Yes	-4.5e6
24	New_cleaner_coal	Yes	Quick	No	-3e6
25	Install_scrubbers	Yes	Lengthy	No	-3e6
26	New_cleaner_coal	Yes	Lengthy	No	-5e6
27	New_cleaner_coal	Yes	Quick	No	-3e6
28	New_cleaner_coal	No	Quick	Yes	-1.5e6
29	Install_scrubbers	Yes	Quick	Yes	-3e6
30	New_cleaner_coal	No	Quick	Yes	-1.5e6
31	New_cleaner_coal	No	Quick	Yes	-1.5e6
32	Install_scrubbers	Yes	Quick	No	-3e6
33	New_cleaner_coal	Yes	Quick	Yes	-4.5e6
34	Install_scrubbers	No	Quick	No	-3e6
35	Install_scrubbers	No	Quick	Yes	-3e6
36	New_cleaner_coal	No	Quick	Yes	-1.5e6
37	New_cleaner_coal	No	Lengthy	No	-1.5e6
38	Install_scrubbers	Yes	Lengthy	No	-3e6
39	New_cleaner_coal	Yes	Quick	Yes	-4.5e6
40	New_cleaner_coal	Yes	Quick	No	-3e6
41	New_cleaner_coal	No	Quick	Yes	-1.5e6
42	Install_scrubbers	No	Quick	Yes	-3e6
43	Install_scrubbers	Yes	Quick	Yes	-3e6
44	Install_scrubbers	No	Lengthy	No	-3e6
45	New_cleaner_coal	Yes	Lengthy	No	-5e6
46	New_cleaner_coal	Yes	Quick	No	-3e6
47	Install_scrubbers	No	Quick	No	-3e6
48	New_cleaner_coal	No	Quick	Yes	-1.5e6
49	Install_scrubbers	Yes	Lengthy	Yes	-3e6
50	New_cleaner_coal	No	Quick	Yes	-1.5e6
51	Install_scrubbers	Yes	Quick	Yes	-3e6
52	New_cleaner_coal	Yes	Quick	Yes	-4.5e6
53	Install_scrubbers	Yes	Quick	Yes	-3e6
54	Install_scrubbers	No	Quick	Yes	-3e6
55	Install_scrubbers	Yes	Lengthy	No	-3e6
56	New_cleaner_coal	No	Quick	Yes	-1.5e6
57	Install_scrubbers	Yes	Quick	No	-3e6
58	Install_scrubbers	Yes	Quick	Yes	-3e6
59	New_cleaner_coal	Yes	Quick	Yes	-4.5e6
60	New_cleaner_coal	Yes	Quick	Yes	-4.5e6
61	New_cleaner_coal	No	Quick	Yes	-1.5e6
62	New_cleaner_coal	Yes	Lengthy	No	-5e6
63	Install_scrubbers	Yes	Quick	Yes	-3e6
64	Install_scrubbers	Yes	Quick	No	-3e6
65	New_cleaner_coal	Yes	Quick	Yes	-4.5e6
66	Install_scrubbers	Yes	Quick	Yes	-3e6
67	Install_scrubbers	Yes	Quick	Yes	-3e6
68	Install_scrubbers	Yes	Quick	No	-3e6
69	Install_scrubbers	Yes	Quick	Yes	-3e6
