 IDnum	Installation_Type	Coal_Worker_Strike	Strike_Resolution	Strike_Intervention	Additional_Cost
1	1	1	0	0	-3e6
2	0	1	0	1	-3e6
3	1	1	0	0	-3e6
4	1	1	0	0	-3e6
5	1	1	0	1	-4.5e6
6	0	1	1	0	-3e6
7	1	1	0	1	-4.5e6
8	1	1	0	1	-4.5e6
9	1	0	0	0	-1.5e6
10	0	0	1	0	-3e6
11	0	1	0	0	-3e6
12	0	0	0	0	-3e6
13	0	1	0	1	-3e6
14	0	0	1	1	-3e6
15	0	1	0	0	-3e6
16	0	0	0	1	-3e6
17	1	1	0	0	-3e6
18	0	0	0	1	-3e6
19	0	1	1	0	-3e6
20	1	1	1	0	-5e6
21	1	1	0	1	-4.5e6
22	1	1	0	1	-4.5e6
23	1	1	0	1	-4.5e6
24	1	1	0	0	-3e6
25	0	1	1	0	-3e6
26	1	1	1	0	-5e6
27	1	1	0	0	-3e6
28	1	0	0	1	-1.5e6
29	0	1	0	1	-3e6
30	1	0	0	1	-1.5e6
31	1	0	0	1	-1.5e6
32	0	1	0	0	-3e6
33	1	1	0	1	-4.5e6
34	0	0	0	0	-3e6
35	0	0	0	1	-3e6
36	1	0	0	1	-1.5e6
37	1	0	1	0	-1.5e6
38	0	1	1	0	-3e6
39	1	1	0	1	-4.5e6
40	1	1	0	0	-3e6
41	1	0	0	1	-1.5e6
42	0	0	0	1	-3e6
43	0	1	0	1	-3e6
44	0	0	1	0	-3e6
45	1	1	1	0	-5e6
46	1	1	0	0	-3e6
47	0	0	0	0	-3e6
48	1	0	0	1	-1.5e6
49	0	1	1	1	-3e6
50	1	0	0	1	-1.5e6
51	0	1	0	1	-3e6
52	1	1	0	1	-4.5e6
53	0	1	0	1	-3e6
54	0	0	0	1	-3e6
55	0	1	1	0	-3e6
56	1	0	0	1	-1.5e6
57	0	1	0	0	-3e6
58	0	1	0	1	-3e6
59	1	1	0	1	-4.5e6
60	1	1	0	1	-4.5e6
61	1	0	0	1	-1.5e6
62	1	1	1	0	-5e6
63	0	1	0	1	-3e6
64	0	1	0	0	-3e6
65	1	1	0	1	-4.5e6
66	0	1	0	1	-3e6
67	0	1	0	1	-3e6
68	0	1	0	0	-3e6
69	0	1	0	1	-3e6
70	0	1	1	0	-3e6
71	1	0	0	1	-1.5e6
72	0	1	1	0	-3e6
73	1	1	0	0	-3e6
74	1	1	1	1	-6.5e6
75	0	1	1	0	-3e6
76	1	1	0	1	-4.5e6
77	1	1	1	0	-5e6
78	1	1	0	0	-3e6
79	1	0	1	0	-1.5e6
80	1	1	0	0	-3e6
81	1	1	0	0	-3e6
82	0	0	0	1	-3e6
83	1	0	0	0	-1.5e6
84	0	1	0	0	-3e6
85	0	0	0	1	-3e6
86	1	1	1	0	-5e6
87	1	0	0	0	-1.5e6
88	0	0	0	0	-3e6
89	1	1	0	0	-3e6
90	1	1	0	0	-3e6
91	0	1	0	1	-3e6
92	1	0	0	0	-1.5e6
93	1	1	0	0	-3e6
94	0	1	1	0	-3e6
95	1	1	0	1	-4.5e6
96	0	0	0	1	-3e6
97	0	1	1	0	-3e6
98	0	0	0	1	-3e6
99	0	1	0	1	-3e6
100	1	0	0	1	-1.5e6
101	0	1	1	0	-3e6
102	0	0	0	1	-3e6
103	1	1	0	1	-4.5e6
104	1	1	0	1	-4.5e6
105	0	1	0	1	-3e6
106	0	1	0	1	-3e6
