 IDnum	Cloudy	Sprinkler	Rain	WetGrass
1	0	1	0	1
2	0	1	0	0
3	1	0	1	1
4	1	0	1	1
5	0	0	0	0
6	0	1	0	1
7	0	1	0	1
8	1	0	1	1
9	0	1	0	1
10	1	0	1	1
11	0	1	0	0
12	1	0	1	1
13	1	0	1	1
14	1	0	0	0
15	1	0	1	1
16	0	0	0	0
17	1	0	1	1
18	0	1	0	1
19	0	0	0	0
20	1	0	0	0
21	1	0	1	0
22	1	0	1	1
23	0	1	0	1
24	0	0	0	0
25	1	0	0	0
26	0	0	1	0
27	1	0	0	0
28	1	0	1	1
29	1	0	1	1
30	1	1	1	1
31	1	1	1	1
32	0	1	0	1
33	0	0	0	0
34	0	0	0	0
35	0	1	1	1
36	0	0	0	0
37	0	0	0	0
38	1	0	1	1
39	0	1	1	1
40	0	1	0	1
41	1	0	1	1
42	0	0	0	0
43	0	0	0	0
44	1	0	1	1
45	1	0	1	1
46	0	1	0	1
47	1	1	0	0
48	0	1	1	1
49	0	1	0	1
50	0	1	0	1
51	1	0	1	1
52	0	1	1	1
53	1	0	0	0
54	0	0	0	0
55	0	0	1	1
56	0	0	0	0
57	1	0	1	1
58	0	1	0	1
59	1	1	0	1
60	1	0	1	1
61	1	0	0	0
62	0	0	0	0
63	1	0	1	1
64	0	1	0	1
65	1	0	1	1
66	1	0	1	1
67	0	0	1	1
68	1	0	1	1
69	1	0	1	1
70	0	0	0	0
71	1	1	1	1
72	1	0	0	0
73	0	1	1	1
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	1	0	0	0
78	1	0	0	0
79	1	0	1	1
80	1	0	1	1
81	1	0	1	1
82	0	1	0	1
83	0	0	0	0
84	0	0	0	0
85	0	1	1	1
86	1	0	1	1
87	1	0	1	1
88	1	1	1	1
89	1	0	1	1
90	1	0	0	0
91	0	1	0	0
92	1	0	1	1
93	0	0	0	0
94	0	0	0	0
95	1	0	1	1
96	1	0	1	1
97	0	1	0	1
98	0	0	0	0
99	0	1	0	1
100	1	0	1	1
101	0	1	1	1
102	1	0	1	1
103	0	1	0	1
104	1	1	1	1
105	1	0	1	1
106	1	0	1	1
107	1	0	0	0
108	0	0	1	1
109	1	0	0	0
110	0	0	0	0
111	0	1	0	1
112	0	1	0	1
113	0	0	0	0
114	1	0	1	1
115	1	0	1	0
116	0	1	0	1
117	1	0	1	1
118	1	0	1	1
119	0	0	0	0
120	1	0	1	0
121	0	0	1	1
122	1	0	1	1
123	0	0	0	0
124	1	0	0	0
125	0	1	0	1
126	0	0	0	0
127	0	0	1	1
128	1	0	0	0
129	0	0	1	0
130	0	1	1	1
131	1	0	1	1
132	1	0	1	1
133	1	0	1	1
134	1	0	1	1
135	0	0	1	1
136	1	0	1	1
137	0	1	1	1
138	1	0	1	1
139	0	1	0	1
140	1	0	1	1
141	1	0	1	1
142	1	0	1	1
143	1	0	1	1
144	0	0	1	0
145	0	0	1	1
146	1	0	1	1
147	1	0	0	0
148	0	1	0	1
149	1	0	1	1
150	1	0	1	1
151	1	0	1	1
152	1	0	1	1
153	1	0	0	0
154	1	1	1	1
155	0	1	0	1
156	0	0	0	0
157	0	1	0	1
158	1	0	1	0
159	0	1	1	1
160	1	0	1	1
161	0	1	0	1
162	0	0	0	0
163	1	0	1	1
164	0	0	0	0
165	1	0	1	0
166	0	0	1	1
167	0	0	0	0
168	1	0	1	1
169	1	0	1	1
170	0	1	0	1
171	1	0	1	0
172	0	1	0	1
173	0	0	0	0
174	1	0	1	1
175	0	1	0	1
176	0	0	0	0
177	0	0	0	0
178	0	1	0	1
179	0	1	1	1
180	1	0	1	1
181	1	0	1	0
182	0	0	0	0
183	0	0	0	0
184	0	1	0	1
185	0	0	0	0
186	0	0	0	0
187	1	0	1	0
188	1	0	1	1
189	0	1	1	1
190	0	0	0	0
191	1	0	0	0
192	1	1	1	0
193	0	1	0	1
194	1	0	1	1
195	0	0	0	0
196	0	0	1	1
197	1	0	0	0
198	1	0	1	1
199	1	0	1	1
200	1	0	1	1
201	1	1	1	1
202	0	1	1	1
203	0	1	0	1
204	1	0	0	0
205	1	0	1	0
206	0	0	0	0
207	0	0	0	0
208	1	0	0	0
209	1	0	1	1
210	0	1	0	1
211	1	0	1	1
212	1	0	0	0
213	1	0	1	1
214	1	1	1	1
215	1	0	1	1
216	0	1	0	1
217	1	0	1	1
218	1	0	1	0
219	0	0	0	0
220	1	0	0	0
221	1	0	1	1
222	1	0	1	1
223	0	1	0	0
224	0	0	0	0
225	0	0	0	0
226	0	1	0	0
227	1	0	1	1
228	1	0	1	1
229	0	1	1	1
230	0	0	0	0
231	1	0	1	0
232	1	0	1	1
233	0	0	0	0
234	0	1	0	1
235	0	0	0	0
236	0	1	0	1
237	0	0	0	0
238	0	0	1	1
239	0	0	0	0
240	1	0	1	1
241	0	0	0	0
242	0	1	0	1
243	1	0	1	1
244	1	0	1	1
245	1	1	1	1
246	0	0	0	0
247	1	1	1	1
248	1	0	1	1
249	1	0	0	0
250	1	0	0	0
251	1	0	1	1
252	1	1	1	1
253	1	0	1	1
254	0	1	0	1
255	1	1	1	1
256	0	0	0	0
257	0	0	0	0
258	0	0	0	0
259	0	0	0	0
260	0	0	0	0
261	0	0	1	1
262	1	0	0	0
263	1	0	1	1
264	1	0	1	1
265	0	0	0	0
266	1	0	0	0
267	0	0	0	0
268	0	0	1	1
269	1	0	1	0
270	0	1	1	1
271	1	0	0	0
272	0	1	0	1
273	0	1	1	1
274	1	0	0	0
275	1	0	1	1
276	0	0	0	0
277	1	0	1	1
278	0	0	0	0
279	1	0	0	0
280	0	1	0	1
