 IDnum	Sprinkler	WetGrass	Rain
1	0	0	1
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	1	1
7	1	1	0
8	0	0	0
9	0	0	0
10	1	1	0
11	1	1	0
12	0	1	1
13	0	0	0
14	0	0	0
15	0	0	0
16	0	1	1
17	1	1	0
18	0	0	0
19	0	0	0
20	0	0	0
21	1	1	0
22	0	0	0
23	0	0	0
24	0	0	0
25	1	1	0
26	0	0	0
27	1	1	0
28	0	0	0
29	0	0	0
30	0	0	0
31	1	1	0
32	1	1	0
33	0	1	1
34	1	1	0
35	0	0	1
36	0	0	0
37	1	1	0
38	0	0	0
39	1	1	0
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	1	1
45	0	1	1
46	0	0	1
47	1	1	0
48	1	1	0
49	0	0	0
50	0	0	1
51	1	1	0
52	1	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	1	1	0
58	0	0	0
59	0	1	1
60	0	0	1
61	0	0	0
62	0	0	0
63	1	1	0
64	0	0	1
65	1	1	0
66	0	1	1
67	0	0	0
68	1	1	0
69	0	0	0
70	1	1	0
71	1	1	0
72	0	0	0
73	0	1	1
74	0	0	0
75	0	0	0
76	1	1	0
77	1	1	0
78	0	0	0
79	0	0	0
80	0	0	0
81	0	0	0
82	0	1	1
83	0	1	1
84	1	1	0
85	0	1	1
86	0	0	1
87	1	1	0
88	0	0	1
89	0	0	1
90	1	1	0
91	1	1	0
92	0	0	0
93	1	1	0
94	0	0	0
95	1	0	0
96	1	1	0
97	0	0	0
98	1	1	0
99	1	1	0
100	1	1	0
101	0	0	0
102	0	1	1
103	1	1	0
104	0	0	0
105	1	1	0
106	0	1	1
107	0	0	0
108	1	1	0
109	1	0	0
110	0	0	0
111	0	0	0
112	0	0	0
113	1	1	0
114	1	1	0
115	0	1	1
116	1	1	0
117	0	1	1
118	1	1	0
119	1	1	0
120	1	1	0
121	0	0	0
122	0	0	0
123	0	0	0
124	1	1	0
125	0	0	0
126	0	0	0
127	0	0	0
128	0	0	0
